age,sex,DR,f,i,prev,r,,,age,sex,DR,f,i,prev,r,,,DR,f,i,prev
37,male,0.134916409,0.000134695,0.001316359,0.017240202,0,,,37,male,0.057443303,3.1632E-06,0.000413587,0.009218297,0,,,2.348688221,42.58191317,3.182786963,1.870215507
38,female,0.190809555,0.000193585,0.001264149,0.01379305,0,,,38,female,0.072659773,2.22793E-06,0.000409118,0.009222841,0,,,2.626068706,86.89019063,3.089935576,1.495531552
38,male,0.134916409,0.000142973,0.001372567,0.018557747,0,,,38,male,0.057443303,3.1632E-06,0.000413587,0.009218297,0,,,2.348688221,45.19888542,3.318690686,2.013142666
39,female,0.190809555,0.000212049,0.001350351,0.015078421,0,,,39,female,0.072659773,2.22793E-06,0.000409118,0.009222841,0,,,2.626068706,95.17771538,3.3006375,1.634899776
39,male,0.134916409,0.000156578,0.001427292,0.019927431,0,,,39,male,0.057443303,3.1632E-06,0.000413587,0.009218297,0,,,2.348688221,49.49991314,3.451008706,2.161725859
40,female,0.190809555,0.000239334,0.001439955,0.016447943,0,,,40,female,0.072024148,6.91774E-06,0.001413729,0.013022749,0,,,2.649244167,34.59715092,1.01855106,1.263016203
40,male,0.134916409,0.000175509,0.001480532,0.021347425,0,,,40,male,0.058016674,8.79967E-06,0.001423143,0.013043342,0,,,2.32547644,19.94494341,1.040325412,1.636653039
41,female,0.190809555,0.00027544,0.001532961,0.017904372,0,,,41,female,0.072024148,6.91774E-06,0.001413729,0.013022749,0,,,2.649244167,39.81648762,1.084338782,1.374853497
41,male,0.134916409,0.000199767,0.001532288,0.022815882,0,,,41,male,0.058016674,8.79967E-06,0.001423143,0.013043342,0,,,2.32547644,22.70163645,1.0766928,1.749235921
42,female,0.190809555,0.000320367,0.00162937,0.019450375,0,,,42,female,0.072024148,6.91774E-06,0.001413729,0.013022749,0,,,2.649244167,46.31095226,1.152533614,1.493569061
42,male,0.134916409,0.000229351,0.00158256,0.024330928,0,,,42,male,0.058016674,8.79967E-06,0.001423143,0.013043342,0,,,2.32547644,26.06357917,1.112017426,1.865390662
43,female,0.190809555,0.000367978,0.001736472,0.021092157,0,,,43,female,0.072024148,6.91774E-06,0.001413729,0.013022749,0,,,2.649244167,53.19340504,1.228292131,1.619639371
43,male,0.134916409,0.000262038,0.001648751,0.025899167,0,,,43,male,0.058016674,8.79967E-06,0.001423143,0.013043342,0,,,2.32547644,29.7781486,1.158527855,1.985623577
